packet_board_id,review_order,board_words,solution_groups,unique_clear_grouping,fair_not_forced,labels_feel_natural,aha_satisfaction,publishable,notes
blind_board_001,1,DAYS | DONUT | PADDLE | RHYTHM | REGISTER | CATCH | TIME | CLOCK | METER | INCH | NOTICE | JUROR | MONTH | TIRED | BEAT | TAG,"CADENCE: RHYTHM, BEAT, TIME, METER || ONE IN A GROUP OF TWELVE: MONTH, JUROR, DONUT, INCH || PERCEIVE: NOTICE, CLOCK, REGISTER, CATCH || DOG ___: TAG, TIRED, DAYS, PADDLE",,,,,,
blind_board_002,2,YIELD | GROSS | SLOW | MUTE | CALM | OIL | SNARE | SLEEPY | MAKE | STOP | QUIET | HOME | NET | EAR | VOLUME | KETTLE,"WORDS BEFORE “DRUM”: SNARE, KETTLE, EAR, OIL || EARN: YIELD, GROSS, MAKE, NET || HARDLY BUSTLING: CALM, QUIET, SLOW, SLEEPY || REMOTE CONTROL FUNCTIONS: VOLUME, STOP, HOME, MUTE",,,,,,
blind_board_003,3,CONTROL | CHEESE | PROGRESSIVE | OPTION | SPILL | PAN | TELL | SHORT | CUP | DISH | RETURN | EMOTIONAL | COMMAND | POPULAR | BLAB | ALTERNATIVE,"___CAKE: CUP, CHEESE, PAN, SHORT || DIVULGE: SPILL, DISH, BLAB, TELL || WORDS ON A MAC KEYBOARD: OPTION, CONTROL, RETURN, COMMAND || WORDS SHORTENED IN ROCK GENRES: ALTERNATIVE, PROGRESSIVE, POPULAR, EMOTIONAL",,,,,,
blind_board_004,4,MILK | PICKLE | FREEZE | SYRUP | BEANS | GRATE | GUTS | GNASH | HOT SAUCE | JAM | FERMENT | GRIND | TEA | CAN | SCRAPE | BUTTER,"BREAKFAST CONDIMENTS: BUTTER, SYRUP, JAM, HOT SAUCE || WAYS TO PRESERVE FOOD: PICKLE, FERMENT, FREEZE, CAN || RUB TOGETHER: GRIND, SCRAPE, GNASH, GRATE || PROVERBIAL THINGS THAT ARE SPILLED: TEA, GUTS, BEANS, MILK",,,,,,
blind_board_005,5,MICHELANGELO | CASH | MERCURY | LEONARDO | VENUS | DONATELLO | EARTH | HEEL | MARS | RAPHAEL | MASH | KEEL | PEEL | REEL | BASH | DASH,"Teenage Mutant Ninja Turtles: MICHELANGELO, LEONARDO, DONATELLO, RAPHAEL || Ends with -ASH: DASH, CASH, MASH, BASH || Planets: MARS, EARTH, VENUS, MERCURY || Rhymes with -EEL: KEEL, PEEL, HEEL, REEL",,,,,,
blind_board_006,6,MARS | CASH | SNOW | SNAP | TOPAZ | OPAL | JADE | MASH | SNUG | VENUS | EARTH | MERCURY | DASH | BASH | SNIP | RUBY,"Rhymes with -ASH: BASH, CASH, DASH, MASH || Planets: MERCURY, EARTH, MARS, VENUS || Starts with SN: SNAP, SNUG, SNIP, SNOW || Gemstones: JADE, OPAL, RUBY, TOPAZ",,,,,,
blind_board_007,7,MICHELANGELO | RAPHAEL | LEONARDO | CAKE | CASH | MASH | MERCURY | EARTH | BASH | VENUS | LAKE | RAKE | MARS | DONATELLO | DASH | BAKE,"Planets: MARS, EARTH, VENUS, MERCURY || Rhymes with -ASH: BASH, CASH, DASH, MASH || Ends with -AKE: BAKE, CAKE, RAKE, LAKE || Teenage Mutant Ninja Turtles: MICHELANGELO, LEONARDO, DONATELLO, RAPHAEL",,,,,,
blind_board_008,8,MULTI | SHOEBOX | BRICK | MUCHO | PICKLE | LIME | MOLTO | RELISH | ZEST | BEAUCOUP | MORTAR | GUSTO | MICROWAVE | JENNY | PASSION | FISH TANK,"RECTANGULAR PRISMS: BRICK, SHOEBOX, MICROWAVE, FISH TANK || RHYME WITH U.S. COINS: LIME, JENNY, MORTAR, PICKLE || “MANY” IN DIFFERENT LANGUAGES: MUCHO, MULTI, BEAUCOUP, MOLTO || ENTHUSIASM: PASSION, RELISH, GUSTO, ZEST",,,,,,
blind_board_009,9,BROOD | LITTER | CABBAGE | SOUL | WORK | ROUGH | REFLECT | PONDER | CRAFT | POINT | NICOTINE | INTERRUPT | STARE | MUSE | TRADE | LINE,"CONTEMPLATE: REFLECT, PONDER, MUSE, BROOD || RUDE THINGS TO DO: STARE, LITTER, INTERRUPT, POINT || VOCATION: WORK, CRAFT, TRADE, LINE || ___ PATCH: CABBAGE, SOUL, ROUGH, NICOTINE",,,,,,
blind_board_010,10,JADE | MASH | SNIP | MICHELANGELO | CASH | SNUG | BASH | LEONARDO | DONATELLO | TOPAZ | DASH | SNAP | RAPHAEL | OPAL | RUBY | SNOW,"Teenage Mutant Ninja Turtles: MICHELANGELO, LEONARDO, DONATELLO, RAPHAEL || Rhymes with -ASH: BASH, CASH, DASH, MASH || Gemstones: JADE, OPAL, RUBY, TOPAZ || Starts with SN: SNAP, SNUG, SNIP, SNOW",,,,,,
blind_board_011,11,RUBY | SNOW | SNAP | SNIP | PEEL | EARTH | SNUG | VENUS | JADE | MERCURY | HEEL | TOPAZ | KEEL | MARS | OPAL | REEL,"Gemstones: JADE, OPAL, RUBY, TOPAZ || Rhymes with -EEL: KEEL, PEEL, HEEL, REEL || Planets: MERCURY, EARTH, MARS, VENUS || Starts with SN: SNAP, SNUG, SNIP, SNOW",,,,,,
blind_board_012,12,KEEP | STICKY | SAND | CHICKEN | FILE | SAVE | FAVORITE | BUTTER | STORE | PRESERVE | UNDER | SPREAD | GRIND | PARLAY | BUFF | LADY,"SPORTS GAMBLING TERMS: PARLAY, SPREAD, UNDER, FAVORITE || SMOOTH USING FRICTION: GRIND, SAND, BUFF, FILE || CONSERVE: PRESERVE, SAVE, STORE, KEEP || WORDS BEFORE “FINGERS”: BUTTER, CHICKEN, STICKY, LADY",,,,,,
blind_board_013,13,OPAL | RAKE | JADE | MERCURY | RUBY | MARS | CAKE | HEEL | REEL | VENUS | PEEL | EARTH | KEEL | TOPAZ | LAKE | BAKE,"Gemstones: JADE, OPAL, RUBY, TOPAZ || Ends with -AKE: BAKE, CAKE, RAKE, LAKE || Rhymes with -EEL: KEEL, PEEL, HEEL, REEL || Planets: MERCURY, EARTH, MARS, VENUS",,,,,,
blind_board_014,14,PEEL | HEEL | BLINKY | INKY | TOPAZ | REEL | PINKY | BAKE | OPAL | RUBY | CAKE | RAKE | CLYDE | KEEL | JADE | LAKE,"Ends with -AKE: BAKE, CAKE, RAKE, LAKE || Gemstones: JADE, OPAL, RUBY, TOPAZ || Rhymes with -EEL: KEEL, PEEL, HEEL, REEL || Pac-Man ghosts: PINKY, INKY, CLYDE, BLINKY",,,,,,
blind_board_015,15,AIR | STREAM | BAY | STIR | TREE | BARK | SNARL | HOWL | GARNISH | CHAIN | PYRAMID | MUDDLE | STRAIN | LADDER | RUN | PLAY,"SOUND LIKE A DOG: BAY, HOWL, BARK, SNARL || ORGANIZATIONAL STRUCTURES, METAPHORICALLY: TREE, CHAIN, PYRAMID, LADDER || BROADCAST, AS ONLINE MEDIA: RUN, AIR, STREAM, PLAY || COCKTAIL-MAKING VERBS: STIR, STRAIN, MUDDLE, GARNISH",,,,,,
blind_board_016,16,STAR | SPONGE | POLO | OXFORD | ZIT | BUBBLE | CORAL | FETT | PENN | PEARL | TEE | BOBA | FLANNEL | TORTE | TAPIOCA | JELLY,"MARINE INVERTEBRATES, FAMILIARLY: SPONGE, STAR, JELLY, CORAL || STARTS OF PASTA NAMES: TORTE, FETT, ZIT, PENN || KINDS OF SHIRTS: POLO, OXFORD, FLANNEL, TEE || SPHERES IN MILK TEA: BUBBLE, TAPIOCA, BOBA, PEARL",,,,,,
blind_board_017,17,WRENCH | MAD | NIGHT | STRAP | BUD | YANK | HUB | MAN | BLOCK | JACK | BUB | TUG | KNEE | BOLSTER | JERK | MAT,"BUSTER: BUD, JACK, BUB, MAN || WREST: WRENCH, TUG, JERK, YANK || ___CAP: NIGHT, HUB, KNEE, MAD || YOGA ACCESSORIES: STRAP, MAT, BOLSTER, BLOCK",,,,,,
blind_board_018,18,MARS | CLYDE | TOPAZ | REEL | HEEL | PINKY | BLINKY | MERCURY | VENUS | KEEL | OPAL | PEEL | INKY | JADE | RUBY | EARTH,"Gemstones: JADE, OPAL, RUBY, TOPAZ || Planets: MARS, EARTH, VENUS, MERCURY || Pac-Man ghosts: PINKY, INKY, CLYDE, BLINKY || Rhymes with -EEL: KEEL, PEEL, HEEL, REEL",,,,,,
blind_board_019,19,FRIDGE | COUNCIL | DROP | MOUNTAIN CLIMBER | BOAT | PANEL | RANGE | CABINET | CHANDELIER | PLANK | COUNTER | BOARD | CRUNCH | SINK | STUD | HOOP,"CORE EXERCISES: PLANK, MOUNTAIN CLIMBER, BOAT, CRUNCH || KINDS OF EARRINGS: STUD, DROP, HOOP, CHANDELIER || GROUP OF ADVISORS: BOARD, COUNCIL, PANEL, CABINET || SEEN IN A KITCHEN: FRIDGE, SINK, RANGE, COUNTER",,,,,,
blind_board_020,20,SHRED | SIGNATURE | SYRUP | POWDER | TOTAL | EMPTY | GRAIN | EXHAUST | CUBE | TIP | ROCK | GROOVE | DRAIN | JAM | TAX | SAP,"DEPLETE: DRAIN, EXHAUST, SAP, EMPTY || WORDS ON A RESTAURANT RECEIPT: TAX, TIP, TOTAL, SIGNATURE || FORMS OF SUGAR: POWDER, SYRUP, CUBE, GRAIN || PLAY MUSIC WITH PASSION: JAM, GROOVE, SHRED, ROCK",,,,,,
blind_board_021,21,INKY | TOPAZ | CAKE | BASH | OPAL | JADE | RUBY | CLYDE | PINKY | CASH | RAKE | LAKE | BLINKY | BAKE | MASH | DASH,"Ends with -AKE: BAKE, CAKE, RAKE, LAKE || Rhymes with -ASH: BASH, CASH, DASH, MASH || Gemstones: JADE, OPAL, RUBY, TOPAZ || Pac-Man ghosts: PINKY, INKY, CLYDE, BLINKY",,,,,,
blind_board_022,22,LAKE | DONATELLO | MICHELANGELO | RAKE | TOPAZ | CASH | CAKE | RAPHAEL | JADE | LEONARDO | OPAL | DASH | BAKE | MASH | BASH | RUBY,"Gemstones: JADE, OPAL, RUBY, TOPAZ || Ends with -AKE: BAKE, CAKE, RAKE, LAKE || Rhymes with -ASH: BASH, CASH, DASH, MASH || Teenage Mutant Ninja Turtles: MICHELANGELO, LEONARDO, DONATELLO, RAPHAEL",,,,,,
