packet_board_id,review_order,board_words,solution_groups,unique_clear_grouping,fair_not_forced,labels_feel_natural,aha_satisfaction,publishable,notes
blind_board_001,1,GNARLY | SHRED | BENT | TWISTED | TRACE | OUNCE | BATH | EXPONENT | POWDER | REST | POWER | ROOT | LICK | THRONE | WARPED | RADICAL,"SMALLEST AMOUNT: OUNCE, TRACE, LICK, SHRED || CONTORTED: BENT, GNARLY, WARPED, TWISTED || ALGEBRA TERMS: RADICAL, POWER, ROOT, EXPONENT || WORDS BEFORE “ROOM” TO MEAN LAVATORY: POWDER, THRONE, REST, BATH",,,,,,
blind_board_002,2,SEVENTH HEAVEN | ROSEBUD | PARADISE | WIKIPEDIA | KETCHUM | PARALYMPICS | POKÉMON | JAZZERCISE | SHANGRI-LA | SALAD DRESSING | PRIMATE | XANADU | SNOWGLOBE | HAIRSPRAY | PAYPAL | MAGIC 8 BALL,"UTOPIA: XANADU, SEVENTH HEAVEN, PARADISE, SHANGRI-LA || THINGS YOU SHAKE: HAIRSPRAY, SALAD DRESSING, MAGIC 8 BALL, SNOWGLOBE || PROPER NOUN PORTMANTEAUX: POKÉMON, WIKIPEDIA, PARALYMPICS, JAZZERCISE || ENDING IN SYNONYMS FOR “FRIEND”: ROSEBUD, PAYPAL, KETCHUM, PRIMATE",,,,,,
blind_board_003,3,JADE | PINKY | RUBY | EARTH | MERCURY | MICHELANGELO | LEONARDO | TOPAZ | RAPHAEL | OPAL | VENUS | CLYDE | BLINKY | INKY | MARS | DONATELLO,"Pac-Man ghosts: CLYDE, BLINKY, PINKY, INKY || Teenage Mutant Ninja Turtles: DONATELLO, RAPHAEL, LEONARDO, MICHELANGELO || Planets: MARS, EARTH, VENUS, MERCURY || Gemstones: JADE, OPAL, RUBY, TOPAZ",,,,,,
blind_board_004,4,JADE | VENUS | CLYDE | MERCURY | RUBY | EARTH | CASH | MARS | TOPAZ | BASH | MASH | BLINKY | DASH | INKY | PINKY | OPAL,"Planets: MERCURY, EARTH, MARS, VENUS || Pac-Man ghosts: CLYDE, BLINKY, PINKY, INKY || Gemstones: JADE, OPAL, RUBY, TOPAZ || Rhymes with -ASH: BASH, CASH, DASH, MASH",,,,,,
blind_board_005,5,BLINKY | JADE | RUBY | TOPAZ | INKY | VENUS | MARS | PINKY | MERCURY | REEL | KEEL | PEEL | OPAL | HEEL | CLYDE | EARTH,"Planets: MERCURY, EARTH, MARS, VENUS || Rhymes with -EEL: KEEL, PEEL, HEEL, REEL || Gemstones: JADE, OPAL, RUBY, TOPAZ || Pac-Man ghosts: CLYDE, BLINKY, PINKY, INKY",,,,,,
blind_board_006,6,LAMP | EARRING | BLUE | BULL | RUN | HEAD | TIRE | ERASER | VELVET | GALOSH | DIRECT | LEAD | CROSS | BALLOON | WISHES | HERRING,"RED ___: HERRING, BULL, VELVET, CROSS || ASSOCIATED WITH THE GENIE IN “ALADDIN”: LAMP, EARRING, WISHES, BLUE || THINGS MADE OF RUBBER: GALOSH, TIRE, ERASER, BALLOON || BE IN CHARGE OF: HEAD, RUN, DIRECT, LEAD",,,,,,
blind_board_007,7,MULTI | SHOEBOX | BRICK | MUCHO | PICKLE | LIME | MOLTO | RELISH | ZEST | BEAUCOUP | MORTAR | GUSTO | MICROWAVE | JENNY | PASSION | FISH TANK,"RECTANGULAR PRISMS: BRICK, SHOEBOX, MICROWAVE, FISH TANK || RHYME WITH U.S. COINS: LIME, JENNY, MORTAR, PICKLE || “MANY” IN DIFFERENT LANGUAGES: MUCHO, MULTI, BEAUCOUP, MOLTO || ENTHUSIASM: PASSION, RELISH, GUSTO, ZEST",,,,,,
blind_board_008,8,BRAND | NAMES | DROP | BLAST | GAME | THRILL | DART | FOR | ATTENTION | BALL | BOLT | FLY | DEAR | KICK | DASH | TO,"NAME ___: GAME, DROP, NAMES, BRAND || FUN TIME: THRILL, BALL, KICK, BLAST || WORDS BEFORE AN ADDRESSEE: FOR, DEAR, ATTENTION, TO || MOVE QUICKLY: DART, DASH, BOLT, FLY",,,,,,
blind_board_009,9,MARS | RAPHAEL | LEONARDO | RUBY | MICHELANGELO | OPAL | JADE | VENUS | DONATELLO | TOPAZ | BAKE | LAKE | EARTH | RAKE | MERCURY | CAKE,"Planets: MERCURY, EARTH, MARS, VENUS || Gemstones: JADE, OPAL, RUBY, TOPAZ || Teenage Mutant Ninja Turtles: DONATELLO, RAPHAEL, LEONARDO, MICHELANGELO || Rhymes with -AKE: RAKE, LAKE, BAKE, CAKE",,,,,,
blind_board_010,10,MERCURY | PEEL | VENUS | LEONARDO | MARS | MICHELANGELO | BLINKY | RAPHAEL | KEEL | EARTH | HEEL | CLYDE | DONATELLO | PINKY | REEL | INKY,"Planets: MERCURY, EARTH, MARS, VENUS || Pac-Man ghosts: CLYDE, BLINKY, PINKY, INKY || Teenage Mutant Ninja Turtles: DONATELLO, RAPHAEL, LEONARDO, MICHELANGELO || Ends with -EEL: REEL, HEEL, PEEL, KEEL",,,,,,
