packet_board_id,review_order,board_words,solution_groups,unique_clear_grouping,fair_not_forced,labels_feel_natural,aha_satisfaction,publishable,notes
blind_board_001,1,RUBY | SNOW | SNAP | SNIP | PEEL | EARTH | SNUG | VENUS | JADE | MERCURY | HEEL | TOPAZ | KEEL | MARS | OPAL | REEL,"Gemstones: JADE, OPAL, RUBY, TOPAZ || Rhymes with -EEL: KEEL, PEEL, HEEL, REEL || Planets: MERCURY, EARTH, MARS, VENUS || Starts with SN: SNAP, SNUG, SNIP, SNOW",,,,,,
blind_board_002,2,BAKE | CLYDE | DASH | MERCURY | PINKY | BASH | MASH | MARS | CAKE | VENUS | LAKE | CASH | EARTH | BLINKY | RAKE | INKY,"Planets: MARS, EARTH, VENUS, MERCURY || Rhymes with -ASH: BASH, CASH, DASH, MASH || Ends with -AKE: BAKE, CAKE, RAKE, LAKE || Pac-Man ghosts: PINKY, INKY, CLYDE, BLINKY",,,,,,
blind_board_003,3,TAP | NAIL | FAST | LIFT | CRUSH | JAZZ | KNUCKLE | PALM | MODERN | SWING | SCREW | ROCK | ACE | CURVE | POCKET | SWIPE,"PERFORM WELL ON: ACE, CRUSH, NAIL, ROCK || ___BALL PITCHES: SCREW, CURVE, KNUCKLE, FAST || STEAL: POCKET, LIFT, SWIPE, PALM || DANCE STYLES: SWING, JAZZ, MODERN, TAP",,,,,,
blind_board_004,4,EARTH | LAKE | BLINKY | INKY | PINKY | RAKE | BAKE | MERCURY | SNUG | CLYDE | VENUS | SNOW | SNIP | SNAP | MARS | CAKE,"Starts with SN: SNAP, SNUG, SNIP, SNOW || Pac-Man ghosts: PINKY, INKY, CLYDE, BLINKY || Planets: MARS, EARTH, VENUS, MERCURY || Rhymes with -AKE: RAKE, LAKE, BAKE, CAKE",,,,,,
blind_board_005,5,BRAND | NAMES | DROP | BLAST | GAME | THRILL | DART | FOR | ATTENTION | BALL | BOLT | FLY | DEAR | KICK | DASH | TO,"NAME ___: GAME, DROP, NAMES, BRAND || FUN TIME: THRILL, BALL, KICK, BLAST || WORDS BEFORE AN ADDRESSEE: FOR, DEAR, ATTENTION, TO || MOVE QUICKLY: DART, DASH, BOLT, FLY",,,,,,
blind_board_006,6,BUCK | TRUMPET | HEEL | STICKER | HOLE | BUTTON | MOREL | BELLY | SOLE | CLAM | ARCH | SINGLE | BALL | SMACKER | LUCK | OYSTER,"POT___: HOLE, LUCK, STICKER, BELLY || ONE DOLLAR: BUCK, CLAM, SINGLE, SMACKER || KINDS OF MUSHROOMS: TRUMPET, BUTTON, MOREL, OYSTER || PARTS OF A FOOT: BALL, ARCH, SOLE, HEEL",,,,,,
blind_board_007,7,CAB | GUITAR | COUNT | FAINT | LAMP | NOBLE | DIZZY | GRAND | LOFTY | SOFT | GIRAFFE | BOTTLE | LIGHT | GREAT | MILD | DUKE,"THINGS WITH NECKS: LAMP, GUITAR, BOTTLE, GIRAFFE || MAGNANIMOUS: NOBLE, GRAND, LOFTY, GREAT || FIRST NAMES IN JAZZ: CAB, COUNT, DIZZY, DUKE || DELICATE: LIGHT, FAINT, SOFT, MILD",,,,,,
blind_board_008,8,MASH | CASH | DASH | BASH | JADE | BAKE | MARS | MERCURY | CAKE | LAKE | RAKE | RUBY | TOPAZ | EARTH | OPAL | VENUS,"Planets: MERCURY, EARTH, MARS, VENUS || Ends with -AKE: BAKE, CAKE, RAKE, LAKE || Rhymes with -ASH: BASH, CASH, DASH, MASH || Gemstones: JADE, OPAL, RUBY, TOPAZ",,,,,,
blind_board_009,9,OPAL | RAKE | JADE | MERCURY | RUBY | MARS | CAKE | HEEL | REEL | VENUS | PEEL | EARTH | KEEL | TOPAZ | LAKE | BAKE,"Gemstones: JADE, OPAL, RUBY, TOPAZ || Ends with -AKE: BAKE, CAKE, RAKE, LAKE || Rhymes with -EEL: KEEL, PEEL, HEEL, REEL || Planets: MERCURY, EARTH, MARS, VENUS",,,,,,
blind_board_010,10,LAMP | EARRING | BLUE | BULL | RUN | HEAD | TIRE | ERASER | VELVET | GALOSH | DIRECT | LEAD | CROSS | BALLOON | WISHES | HERRING,"RED ___: HERRING, BULL, VELVET, CROSS || ASSOCIATED WITH THE GENIE IN “ALADDIN”: LAMP, EARRING, WISHES, BLUE || THINGS MADE OF RUBBER: GALOSH, TIRE, ERASER, BALLOON || BE IN CHARGE OF: HEAD, RUN, DIRECT, LEAD",,,,,,
